name_kc_id,prerequisites_kc_id
2,0
4,3
5,2
4,5
6,2
7,2
8,2
10,2
0,3
7,3
10,3
0,1
11,1
12,1
13,0
8,0
14,1
14,0
15,0
16,11
0,12
11,12
11,7
16,8
2,14
0,7
17,7
18,14
19,14
12,16
20,2
11,17
13,19
14,19
11,3
20,9
10,0
22,10
3,10
23,0
18,3
18,0
24,0
15,11
25,4
26,4
11,4
27,20
10,13
28,11
16,20
30,21
9,21
14,21
18,6
3,22
7,9
12,9
12,3
26,23
5,5
26,5
16,9
15,18
12,18
26,25
20,26
17,26
21,10
12,26
6,11
11,6
1,5
6,27
28,5
12,15
10,28
10,29
7,29
27,29
26,10
10,30
3,9
3,1
12,12
28,14
31,27
17,1
20,1
7,10
9,4
18,29
19,1
19,9
10,27
25,17
1,21
18,4
26,28
22,1
8,12
32,11
28,13
22,13
17,13
3,28
1,9
11,27
17,20
21,7
18,7
4,27
25,3
21,31
8,3
34,15
11,18
29,9
16,27
9,27
8,20
25,28
21,20
1,28
2,31
6,21
19,17
16,6
2,9
4,7
5,6
6,6
27,9
27,1
27,2
28,18
21,26
27,24
27,25
9,26
11,26
23,26
18,22
16,32
15,22
16,12
20,12
10,23
17,23
18,23
2,23
14,23
21,15
11,15
32,17
20,13
22,15
7,15
30,15
9,30
12,30
34,11
17,17
5,13
34,6
33,18
34,2
34,21
33,4
34,17
34,9
20,25
14,15
18,33
6,33
5,33
8,33
26,21
33,14
1,33
15,8
24,34
24,35
15,35
23,19
33,8
16,25
5,25
21,25
29,19
6,19
22,21
33,19
15,19
9,19
28,19
22,18
5,16
17,10
15,4
0,4
19,5
17,6
23,27
24,21
33,27
20,20
32,20
27,27
23,9
32,23
31,1
13,16
10,17
30,17
33,16
22,20
16,17
6,17
31,2
31,14
23,21
29,20
21,11
5,32
1,22
14,9
4,23
24,10
25,10
6,30
23,3
21,9
5,17
9,33
7,34
29,34
13,34
1,34
23,34
10,34
33,34
26,14
13,14
26,18
13,6
13,8
18,1
2,15
13,24
35,15
26,15
15,5
13,15
23,16
22,5
29,21
21,29
29,6
13,22
33,22
29,22
5,22
15,23
16,31
34,22
15,17
